cityName,wellnessCentreName,card_type,count
HYDERABAD,DILSUKHNAGAR,"Freedom Fighter",877
HYDERABAD,"CGHS Polyclinic-II Saifabad",Pensioner,3
HYDERABAD,"PADMARAO NAGAR",Serving,5060
HYDERABAD,"HIMAYAT NAGAR","Ex MP",85
HYDERABAD,KACHIGUDA,"Ex MP",6
HYDERABAD,MALAKPET,"Freedom Fighter",257
HYDERABAD,MALAKPET,"Ex MP",4
JABALPUR,Adhartal,Serving,815
JABALPUR,"Westland Khamaria",Serving,1357
JABALPUR,"Westland Khamaria",Pensioner,6398
JABALPUR,"Napier Town","Lok Sabha MP",1
JABALPUR,"Kamla Nehru Nagar",Serving,4684
JAIPUR,"CHANDAN MAHAL","Freedom Fighter",1
JAIPUR,AJMER,Serving,5393
JAIPUR,"JANTA COLONY",Serving,1295
JAIPUR,"JYOTI NAGAR",Serving,6869
KANPUR,KENDRANCHAL,"Freedom Fighter",6
KANPUR,"RAKSHA VIHAR",Serving,11621
KANPUR,"RATAN LAL NAGAR",Serving,3982
KANPUR,"AZAD NAGAR",Pensioner,3268
KANPUR,"SAKET NAGAR","Ex MP",3
KANPUR,"R. K. NAGAR",Serving,1271
KOLKATA,SILIGURI,"Freedom Fighter",1
KOLKATA,"SALT LAKE  IC BLOCK DISPENSARY","Freedom Fighter",3
KOLKATA,"SALT LAKE  IC BLOCK DISPENSARY",Pensioner,2625
KOLKATA,"SALT LAKE  IC BLOCK DISPENSARY",Serving,6991
KOLKATA,"LAKE AREA","Ex MP",3
KOLKATA,"DOVER LANE","Freedom Fighter",315
KOLKATA,SHYAMBAZAR,"Ex MP",19
KOLKATA,RAJDANGA,"Freedom Fighter",113
KOLKATA,"BHOWANIPUR KALIGHAT","Ex MP",8
KOLKATA,"MINT COLONY","Freedom Fighter",60
KOLKATA,BELVEDERE,"Ex MP",5
KOLKATA,"BBD BAG ","Freedom Fighter",649
KOLKATA,"SANTRAGACHI ","Freedom Fighter",30
KOLKATA,"SALT LAKE ,AF",Pensioner,4016
KOLKATA,AIRPORT,Serving,7427
KOLKATA,"SALT LAKE  EB","Freedom Fighter",39
KOLKATA,"Motilal Gupta Road","Freedom Fighter",20
LUCKNOW,AGRA,Pensioner,2833
LUCKNOW,Aishbagh,Serving,384
LUCKNOW,Lucknow3,Serving,11849
LUCKNOW,Lucknow4,Pensioner,3223
LUCKNOW,Lucknow5,Pensioner,3262
LUCKNOW,Lucknow6,Pensioner,6030
MEERUT," CGHS WC MORADABAD",Pensioner,1298
MEERUT," CGHS WC MORADABAD",Serving,1407
MEERUT,"Vijay Nagar Meerut",Serving,1768
MEERUT,"Kanker Khera Meerut",Pensioner,5298
MEERUT,"S K Road Meerut",Pensioner,3392
MEERUT,"S K Road Meerut","Ex MP",9
MEERUT,"Lekha Nagar Meerut",Serving,6212
MEERUT," CGHS WC ALIGARH",Pensioner,1283
MUMBAI,"C G O NEW MARINE LINES","Freedom Fighter",15
MUMBAI,BOMBOLIM,Serving,5569
MUMBAI,"C G O NEW MARINE LINES",Serving,7103
MUMBAI,DEONAR,"Freedom Fighter",2
MUMBAI,OSHIWARA,"Freedom Fighter",2
MUMBAI,OSHIWARA,Serving,373
MUMBAI,BHANDUP,"Freedom Fighter",2
MUMBAI,BHANDUP,Pensioner,4218
MUMBAI,MULUND,"Freedom Fighter",7
MUMBAI,KANDIVALI,"Freedom Fighter",10
MUMBAI,"PAREL ",Pensioner,3203
MUMBAI,"PAREL ","Ex MP",1
MUMBAI,"KANJURMARG POWAI","Freedom Fighter",1
MUMBAI,SEEPZ,"Freedom Fighter",2
MUMBAI,SEEPZ,Pensioner,1907
MUMBAI,THAKURLI,Pensioner,6803
MUMBAI,SANTAKRUZ,Pensioner,8236
MUMBAI,SANTAKRUZ,"Ex MP",5
MUMBAI,GHATKOPAR,Pensioner,7529
MUMBAI,WADALA,Pensioner,2287
MUMBAI,KOLIWADA,"Ex MP",3
MUMBAI,"CLI SION",Pensioner,2089
MUMBAI,BOMBOLIM,Pensioner,720
NAGPUR,"KATOL ROAD","Freedom Fighter",3
NAGPUR,"KATOL ROAD",Serving,6198
NAGPUR,Wadi,Serving,196
NAGPUR,"PANCH PAOLI",Serving,2610
NAGPUR,ITWARI,Serving,1211
NAGPUR,SITABULDI,Pensioner,2467
NAGPUR,SITABULDI,"Ex MP",5
NAGPUR,"SANKAR DARA","Ex MP",4
PATNA,MUZAFFARPUR,Serving,2403
PATNA,"BORING CANAL ROAD",Serving,3539
PATNA,"BUDHA MARG",Pensioner,6148
PRAYAGRAJ,Naini,Serving,2929
PRAYAGRAJ,"BARALAL PUR VARANASI",Serving,4752
PRAYAGRAJ,"New Katra",Pensioner,4757
PRAYAGRAJ,Drummond,"Freedom Fighter",1
PRAYAGRAJ,"Jawahar Lal Nehru Road",Serving,5516
PUNE,"GST BHAVAN AURANGABAD ",Serving,1956
PUNE,"MANGALWAR PETH",Pensioner,5740
PUNE,"MANGALWAR PETH","Freedom Fighter",51
PUNE,"AKURDI ",Serving,5024
PUNE,"PHULENAGAR, YERWADA","Ex MP",1
PUNE,"AKURDI ",Pensioner,13781
PUNE,"AKURDI ","Freedom Fighter",15
PUNE,"PHULENAGAR, YERWADA","Freedom Fighter",16
PUNE,"PUNE 05","Freedom Fighter",9
PUNE,"PUNE 05",Pensioner,12860
PUNE,"MUKUND NAGAR","Freedom Fighter",231
PUNE,"SHUKRAWAR PETH","Freedom Fighter",7
RANCHI,DHANBAD,Serving,2450
RANCHI,"KANTA TOLI","Freedom Fighter",18
RANCHI,"NEW AG COLONY, DORANDA",Pensioner,5272
SHILLONG,SHILLONG,Pensioner,1155
SHILLONG,"Air India",Serving,3
TRIVANDRUM,COCHIN,Serving,3068
TRIVANDRUM,"TRIVANDRUM 3","Lok Sabha MP",2
AHMEDABAD,Vadodara,"Ex MP",10
AHMEDABAD,"PRAGATINAGAR, NARANPURA","Freedom Fighter",5
AHMEDABAD,NARODA,Pensioner,3799
AHMEDABAD,"GANDHI NAGAR",Pensioner,2558
AHMEDABAD,LALDARWAJA,Serving,1429
AHMEDABAD,"RAMBAUG,MANINGAR",Pensioner,3759
BENGALURU,"KA C. V. RAMAN NAGAR",Serving,15521
BENGALURU,"KA C. V. RAMAN NAGAR",Pensioner,6689
BENGALURU,"KA GANGENAHALLI","Freedom Fighter",8
BENGALURU,"KA SHIVAJINAGAR",Pensioner,8928
BENGALURU,HBR,Serving,5310
BHOPAL,"JAHANGIRABAD BP – 1","Freedom Fighter",16
BHOPAL,"JAHANGIRABAD BP – 1",Pensioner,9265
BHOPAL,"VASANT KUNJ BP – 2",Pensioner,6926
BHOPAL,INDORE1,Pensioner,6337
BHUBANESHWAR,"OLD AG COLONY","Ex MP",26
BHUBANESHWAR,CUTTACK,Serving,3444
BHUBANESHWAR,"PMG Square",Serving,7191
CHANDIGARH,"CHD Sec 45",Serving,19475
CHANDIGARH," PANCHKULA ",Pensioner,1296
CHANDIGARH,SHIMLA,Pensioner,3006
CHANDIGARH,AMRITSAR,Serving,5842
CHANDIGARH,JAMMU,Jaurnalist,1
CHENNAI,MEENAMBAKKAM,Serving,7934
CHENNAI,NANDAMBAKKAM,Pensioner,2097
CHENNAI,NANDAMBAKKAM,Serving,2571
CHENNAI,NUNGAMBAKKAM,Pensioner,2191
CHENNAI,PERAMBUR,"Freedom Fighter",517
CHENNAI,ROYAPURAM,"Freedom Fighter",162
CHENNAI,PUDUCHERRY,Serving,2512
CHENNAI,"Air india",Pensioner,11
CHENNAI,TIRUNELVELI,Serving,895
CHENNAI,COIMBATORE,Pensioner,4453
CHENNAI,COIMBATORE,"Ex MP",11
CHENNAI,AVADI,"Ex MP",4
DEHRADUN,DEHRADUN,"Freedom Fighter",7
"DELHI AND NCR","CHITRA GUPTA ROAD",Serving,6952
"DELHI AND NCR",INDERPURI,Pensioner,2098
"DELHI AND NCR","G.K.G Krishna Nagar",Jaurnalist,42
"DELHI AND NCR","G.K.G Krishna Nagar",Pensioner,6090
"DELHI AND NCR","NANGAL RAYA",Pensioner,7024
"DELHI AND NCR","SUBZI MANDI","Freedom Fighter",1
"DELHI AND NCR","SUBZI MANDI",Pensioner,3439
"DELHI AND NCR","SUBZI MANDI",Serving,5623
"DELHI AND NCR","KINGSWAY CAMP",Pensioner,12457
"DELHI AND NCR","ASHOK VIHAR","Ex MP",2
"DELHI AND NCR","MEHRAULI BADARPUR ROAD (M B ROAD)",Jaurnalist,37
"DELHI AND NCR","PALAM COLONY",Jaurnalist,41
"DELHI AND NCR","PALAM COLONY","Rajya Sabha MP",2
"DELHI AND NCR","R K PURAM-VI",Pensioner,2535
"DELHI AND NCR",FARIDABAD,"Ex MP",1
"DELHI AND NCR","KASTURBA NAGAR-II",Serving,1548
"DELHI AND NCR","KASTURBA NAGAR-II","Ex MP",5
"DELHI AND NCR","GURUGRAM SECTOR 5",Jaurnalist,38
"DELHI AND NCR",KALKAJI-II,Pensioner,3112
"DELHI AND NCR",KALKAJI-II,Serving,4664
"DELHI AND NCR",KALKAJI-II,"Ex MP",4
"DELHI AND NCR","KALI BARI",Jaurnalist,6
"DELHI AND NCR","MAYUR VIHAR TRILOK KUNJ","Freedom Fighter",6
"DELHI AND NCR","MAYUR VIHAR TRILOK KUNJ","Lok Sabha MP",1
"DELHI AND NCR","CHANDNI CHOWK",Jaurnalist,25
"DELHI AND NCR","PASCHIM VIHAR",Jaurnalist,41
"DELHI AND NCR","PASCHIM VIHAR",Pensioner,13042
"DELHI AND NCR","PRAGATI  VIHAR",Serving,8632
"DELHI AND NCR","YAMUNA VIHAR",Jaurnalist,93
"DELHI AND NCR","YAMUNA VIHAR",Serving,66423
"DELHI AND NCR","NOIDA ",Serving,17742
"DELHI AND NCR","DILSHAD GARDEN",Jaurnalist,76
"DELHI AND NCR","LODHI ROAD-I (ALI GANJ)",Jaurnalist,29
"DELHI AND NCR","LODHI ROAD-I (ALI GANJ)","Ex MP",3
"DELHI AND NCR","VASANT KUNJ","Rajya Sabha MP",6
"DELHI AND NCR","NOIDA SECTOR 82","Freedom Fighter",1
"DELHI AND NCR",INDIRAPURAM,"Freedom Fighter",4
"DELHI AND NCR",NARAINA,Serving,6467
"DELHI AND NCR","LODHI ROAD II",Pensioner,3750
"DELHI AND NCR","DWARKA SECTOR 23","Ex MP",1
"DELHI AND NCR",PATPARGANJ,Pensioner,4182
"DELHI AND NCR","MAYUR VIHAR PH II",Serving,2312
"DELHI AND NCR",SONIPAT,Pensioner,7730
"DELHI AND NCR","SAROJINI NAGAR I",Pensioner,846
"DELHI AND NCR","LAXMIBAI NAGAR","Freedom Fighter",3
"DELHI AND NCR","LAXMIBAI NAGAR",Jaurnalist,14
"DELHI AND NCR",MOTIBAGH,Jaurnalist,23
"DELHI AND NCR",KAROLBAGH,Jaurnalist,1
"DELHI AND NCR","VIKAS PURI",Pensioner,8436
"DELHI AND NCR","DEV NAGAR",Jaurnalist,28
"DELHI AND NCR","DEV NAGAR","Ex MP",1
"DELHI AND NCR","PATEL NAGAR-I(EAST)",Pensioner,175
"DELHI AND NCR","NETAJI NAGAR",Serving,2676
"DELHI AND NCR","GREATER NOIDA ","Freedom Fighter",2
"DELHI AND NCR","GREATER NOIDA ",Pensioner,8399
"DELHI AND NCR","KASTURBA NAGAR-I",Pensioner,1629
"DELHI AND NCR","PRESIDENTS ESTATE","Freedom Fighter",2
"DELHI AND NCR","PRESIDENTS ESTATE",Jaurnalist,2
"DELHI AND NCR","PRESIDENTS ESTATE",Pensioner,1135
"DELHI AND NCR","NAUROJI NAGAR",Jaurnalist,9
"DELHI AND NCR","NORTH AVENUE",Pensioner,989
"DELHI AND NCR","SOUTH AVENUE","Freedom Fighter",7
"DELHI AND NCR","SOUTH AVENUE",Serving,2569
"DELHI AND NCR","VILLAGE JHARODA KALAN  NAJAFGARH",Pensioner,16034
"DELHI AND NCR","TELEGRAPH LANE","Freedom Fighter",10
"DELHI AND NCR","SAROJINI NAGAR MARKET",Pensioner,479
"DELHI AND NCR",SHRINIVASPURI,Serving,13660
"DELHI AND NCR","MINTO ROAD",Serving,6200
"DELHI AND NCR","JUNG PURA","Ex MP",3
"DELHI AND NCR","MALVIYA NAGAR",Jaurnalist,52
"DELHI AND NCR","MALVIYA NAGAR",Pensioner,4015
"DELHI AND NCR","KALKA  JI - I","Ex MP",11
"DELHI AND NCR","R K PURAM-I",Serving,36092
"DELHI AND NCR","DR Z.H ROAD","Rajya Sabha MP",24
"DELHI AND NCR","NEW RAJINDER NAGAR",Jaurnalist,31
"DELHI AND NCR","NEW RAJINDER NAGAR",Pensioner,2323
"DELHI AND NCR","HAUZ KHAS","Freedom Fighter",8
"DELHI AND NCR","HAUZ KHAS",Pensioner,6029
"DELHI AND NCR","MAYA PURI (HARI NAGAR)",Pensioner,6888
"DELHI AND NCR",SHAHDARA,Pensioner,9989
"DELHI AND NCR",PAHARGANJ,"Freedom Fighter",1
"DELHI AND NCR","CHITRA GUPTA ROAD",Pensioner,1844
"DELHI AND NCR","PHA (ANNEXE) ","Rajya Sabha MP",2
GUWAHATI,Gangtok,Pensioner,71
GUWAHATI,DIBRUGARH,Serving,2525
GUWAHATI,Itanagar,Serving,251
HYDERABAD,RAJAHMUNDRY,Pensioner,2987
HYDERABAD,GUNTUR,"Freedom Fighter",2
HYDERABAD,ALWAL,"Ex MP",4
HYDERABAD,VISAKHAPATNAM,"Ex MP",14
HYDERABAD,RAJAHMUNDRY,Serving,1335
HYDERABAD,VIJYAWADA,Pensioner,5646
HYDERABAD,NELLORE,"Ex MP",5
HYDERABAD,DILSUKHNAGAR,Serving,7778
HYDERABAD,DILSUKHNAGAR,"Ex MP",2
HYDERABAD,TARNAKA,Pensioner,11423
HYDERABAD,TARNAKA,"Ex MP",6
HYDERABAD,"HUMAYUN NAGAR","Freedom Fighter",83
HYDERABAD,BEGUMPET,"Ex MP",151
HYDERABAD,"HIMAYAT NAGAR","Freedom Fighter",383
HYDERABAD,"HIMAYAT NAGAR",Pensioner,4356
HYDERABAD,KACHIGUDA,"Freedom Fighter",176
JABALPUR,"Head Post Office Compound","Ex MP",4
JABALPUR,Adhartal,Pensioner,7993
JABALPUR,"Napier Town","Freedom Fighter",22
JAIPUR,"CHANDAN MAHAL",Pensioner,2294
JAIPUR,"JANTA COLONY",Pensioner,2302
JAIPUR,"JANTA COLONY","Ex MP",2
JAIPUR,"BAJAJ NAGAR",Pensioner,5992
JAIPUR,"BANI PARK",Pensioner,9620
JAIPUR,"BANI PARK","Ex MP",12
JAIPUR,"JYOTI NAGAR",Pensioner,6461
KANPUR,"GWALIOR WC",Serving,5238
KANPUR,"RATAN LAL NAGAR",Pensioner,8974
KANPUR,"AZAD NAGAR","Freedom Fighter",1
KANPUR,"SAKET NAGAR",Serving,1190
KOLKATA,Ishapore,Serving,4103
KOLKATA,"LAKE AREA","Freedom Fighter",112
KOLKATA,"LAKE AREA",Pensioner,3783
KOLKATA,"DOVER LANE",Pensioner,7635
KOLKATA,SHYAMBAZAR,Pensioner,16298
KOLKATA,RAJDANGA,Pensioner,8674
KOLKATA,RAJDANGA,"Ex MP",4
KOLKATA,"AIIH&PH Campus CR Avenue",Serving,1707
KOLKATA,"SALT LAKE ,AF",Serving,7370
KOLKATA,"SALT LAKE  EB",Pensioner,2022
KOLKATA,"SALT LAKE  EB","Ex MP",8
LUCKNOW,Aishbagh,"Ex MP",2
LUCKNOW,Aishbagh,Pensioner,722
LUCKNOW,"PMG Office Hazaratganj","Ex MP",15
LUCKNOW,BAREILLY,Pensioner,2466
LUCKNOW,Lucknow6,Serving,13178
LUCKNOW,"Lucknow 1","Ex MP",45
LUCKNOW,Lucknow3,"Freedom Fighter",2
MEERUT,"Shastri Nagar Meerut","Ex MP",5
MEERUT,"Kanker Khera Meerut",Serving,7074
MEERUT,"Gill Colony Saharanpur",Serving,2687
MUMBAI,"C G O NEW MARINE LINES","Lok Sabha MP",1
MUMBAI,"C G O NEW MARINE LINES",Pensioner,5886
MUMBAI,BANDRA,Pensioner,69
MUMBAI,BANDRA,Serving,83
MUMBAI,DEONAR,Pensioner,3022
MUMBAI,OSHIWARA,Pensioner,589
MUMBAI,MULUND,"Ex MP",13
MUMBAI,"PEDDER ROAD","Ex MP",8
MUMBAI,"SAHAR,ANDHERI (W)",Pensioner,1057
MUMBAI,"PAREL ","Freedom Fighter",2
MUMBAI,"KANJURMARG POWAI","Ex MP",2
MUMBAI,BORIVALI,Pensioner,763
MUMBAI,"NEPEAN SEA ROAD","Ex MP",7
MUMBAI,JUHU,Pensioner,7115
MUMBAI,"CGO Polyclinic",Serving,1
MUMBAI,WADALA,"Ex MP",1
MUMBAI,KOLIWADA,Pensioner,4328
MUMBAI,NASHIK,"Lok Sabha MP",1
NAGPUR,CHANDRAPUR,"Freedom Fighter",1
NAGPUR,"CIVIL LINES",Pensioner,2947
NAGPUR,ITWARI,"Ex MP",9
NAGPUR,"SHANKAR NAGAR","Ex MP",4
NAGPUR,SITABULDI,Serving,1658
NAGPUR,"WARDHA ROAD",Serving,2054
PATNA,CHHAPRA,Serving,559
PATNA,"SURYANCHAL BHANDRA GHAT",Pensioner,889
PATNA,"SURYANCHAL BHANDRA GHAT","Ex MP",4
PATNA,"KANKAR BAGH",Serving,7861
PATNA,"Salimpur Dumara,Ashiyana Nagar","Freedom Fighter",20
PATNA,"BUDHA MARG",Serving,14062
PATNA,"BUDHA MARG","Freedom Fighter",292
PRAYAGRAJ,"New Katra","Ex MP",4
PRAYAGRAJ,"BARALAL PUR VARANASI",Pensioner,2172
PRAYAGRAJ,"Lahurabir Varanasi",Pensioner,871
PRAYAGRAJ,"New Katra","Freedom Fighter",1
PRAYAGRAJ,"Lahurabir Varanasi",Serving,2002
PRAYAGRAJ,"Leader Road",Serving,3096
PRAYAGRAJ,Naini,Pensioner,2522
PRAYAGRAJ,"Kalyani Devi","Freedom Fighter",3
PRAYAGRAJ,Drummond,Serving,8214
PRAYAGRAJ,Drummond,Pensioner,3050
PUNE,"GT ROAD EAST STREET","Freedom Fighter",3
PUNE,"MANGALWAR PETH",Serving,990
PUNE,"RANGE HILLS, KIRKEE","Freedom Fighter",16
PUNE,"RANGE HILLS, KIRKEE",Serving,4048
RANCHI,"KANTA TOLI","Ex MP",4
RANCHI,"NEW AG COLONY, DORANDA",Serving,13764
RANCHI,"NEW AG COLONY, DORANDA","Freedom Fighter",3
SHILLONG,Imphal,Serving,5837
SHILLONG,SHILLONG,"Ex MP",2
SHILLONG,"OPP. Raj Bhawan Shillong",Serving,13257
SHILLONG,AGARTALA,"Freedom Fighter",4
TRIVANDRUM,TRIVANDRUM,Pensioner,18488
TRIVANDRUM,CALICUT,"Ex MP",3
TRIVANDRUM,TRIVANDRUM,"Lok Sabha MP",1
TRIVANDRUM,"TRIVANDRUM 3",Serving,3511
TRIVANDRUM,"TRIVANDRUM 3",Pensioner,13846
TRIVANDRUM,"TRIVANDRUM 3","Freedom Fighter",88
"DELHI AND NCR","PANDARA ROAD ","Rajya Sabha MP",53
"DELHI AND NCR","PANDARA ROAD ","Ex MP",152
"DELHI AND NCR","PATEL NAGAR-I(EAST)",Jaurnalist,3
"DELHI AND NCR","NETAJI NAGAR","Freedom Fighter",1
"DELHI AND NCR","GREATER NOIDA ",Serving,26155
"DELHI AND NCR","CHANKAYA PURI",Serving,5193
"DELHI AND NCR","TILAK NAGAR",Serving,9965
"DELHI AND NCR","NANAK PURA",Jaurnalist,19
"DELHI AND NCR","NANAK PURA",Serving,6939
"DELHI AND NCR","NANAK PURA","Ex MP",5
"DELHI AND NCR","DELHI CANTONMENT  ",Pensioner,2605
"DELHI AND NCR","DELHI CANTONMENT  ",Serving,15902
"DELHI AND NCR","NAUROJI NAGAR",Pensioner,451
"DELHI AND NCR","NORTH AVENUE",Jaurnalist,20
"DELHI AND NCR","NORTH AVENUE","Rajya Sabha MP",402
"DELHI AND NCR","SOUTH AVENUE","Lok Sabha MP",7
"DELHI AND NCR","TELEGRAPH LANE","Rajya Sabha MP",44
"DELHI AND NCR","TELEGRAPH LANE","Ex MP",197
"DELHI AND NCR",SHRINIVASPURI,"Freedom Fighter",2
"DELHI AND NCR","PATEL NAGAR-II(WEST)",Pensioner,3871
"DELHI AND NCR","JUNG PURA",Serving,9415
"DELHI AND NCR","MALVIYA NAGAR","Freedom Fighter",3
"DELHI AND NCR","MALVIYA NAGAR",Serving,6977
"DELHI AND NCR","KALKA  JI - I","Freedom Fighter",2
"DELHI AND NCR","R K PURAM-I",Pensioner,3705
"DELHI AND NCR","R K PURAM-I","Ex MP",2
"DELHI AND NCR","R K PURAM-II",Jaurnalist,9
"DELHI AND NCR","HAUZ KHAS","Ex MP",10
"DELHI AND NCR","MAYA PURI (HARI NAGAR)",Serving,7531
"DELHI AND NCR",PAHARGANJ,Jaurnalist,42
"DELHI AND NCR","CBI COLONY",Serving,1141
"DELHI AND NCR","Air india",Pensioner,4
GUWAHATI,"GUWAHATI 1","Freedom Fighter",16
GUWAHATI,"GUWAHATI 1","Rajya Sabha MP",5
GUWAHATI,"GUWAHATI 1",Serving,16620
GUWAHATI,"GUWAHATI 1","Ex MP",24
GUWAHATI,AiZwal,Pensioner,216
GUWAHATI,"GUWAHATI 4",Pensioner,3201
GUWAHATI,"GUWAHATI 2","Freedom Fighter",6
GUWAHATI,"GUWAHATI 2",Serving,12384
GUWAHATI,"GUWAHATI 2","Ex MP",1
HYDERABAD,ALWAL,Serving,13973
HYDERABAD,VISAKHAPATNAM,"Freedom Fighter",4
HYDERABAD,VIJYAWADA,"Freedom Fighter",12
HYDERABAD,CHARMINAR,"Freedom Fighter",43
HYDERABAD,CHARMINAR,Pensioner,4571
HYDERABAD,"A. G COLONY","Ex MP",15
HYDERABAD,"KAKATIYA NAGAR","Freedom Fighter",30
HYDERABAD,"KAKATIYA NAGAR","Ex MP",7
HYDERABAD,"HUMAYUN NAGAR","Ex MP",5
HYDERABAD,"PADMARAO NAGAR","Freedom Fighter",908
HYDERABAD,"PADMARAO NAGAR",Pensioner,7139
HYDERABAD,BEGUMPET,Serving,9414
HYDERABAD,"HIMAYAT NAGAR","Lok Sabha MP",1
HYDERABAD,KACHIGUDA,Serving,4451
HYDERABAD,MALAKPET,Serving,2976
JABALPUR,"Vaidyanathan Nagar",Serving,7177
JABALPUR,"Vaidyanathan Nagar","Freedom Fighter",3
JABALPUR,"Kamla Nehru Nagar","Freedom Fighter",10
JABALPUR,"Napier Town",Pensioner,13368
JAIPUR,"CHANDAN MAHAL",Serving,1792
JAIPUR,"BAJAJ NAGAR",Serving,5390
JAIPUR,"BAJAJ NAGAR","Ex MP",18
JAIPUR,"BANI PARK","Lok Sabha MP",3
JAIPUR,"VIDHYADHAR NAGAR",Pensioner,5351
JAIPUR,"Polyclinic A.G. Colony Bajaj Nagar, ",Pensioner,5
JAIPUR,KOTA,Serving,2053
KANPUR,KENDRANCHAL,Serving,3762
KANPUR,"GWALIOR WC",Pensioner,3062
KANPUR,"RATAN LAL NAGAR","Freedom Fighter",1
KANPUR,"SAKET NAGAR",Pensioner,3281
KANPUR,"R. K. NAGAR","Ex MP",2
KANPUR,"CIVIL LINES",Pensioner,5809
KOLKATA,SILIGURI,Pensioner,1964
KOLKATA,"LAKE AREA",Serving,2779
KOLKATA,Ishapore,"Freedom Fighter",3
KOLKATA,"DOVER LANE","Ex MP",15
KOLKATA,NARKELDANGA,"Freedom Fighter",70
KOLKATA,NARKELDANGA,Pensioner,3665
KOLKATA,"BHOWANIPUR KALIGHAT","Freedom Fighter",23
KOLKATA,"BHOWANIPUR KALIGHAT",Pensioner,2826
KOLKATA,"AIIH&PH Campus CR Avenue",Pensioner,4601
KOLKATA,"MINT COLONY",Serving,4656
KOLKATA,"MINT COLONY","Ex MP",6
KOLKATA,BELVEDERE,Pensioner,2221
KOLKATA,"BBD BAG ",Pensioner,14753
KOLKATA,"BBD BAG ",Serving,3144
KOLKATA,"SALT LAKE ,AF","Ex MP",9
KOLKATA,AIRPORT,Pensioner,21445
KOLKATA,"LAKE TOWN",Serving,4801
KOLKATA,"LAKE TOWN","Ex MP",2
