cityName,wellnessCentreName,card_type,count
KOLKATA,TOLLYGUNJ,Serving,5542
LUCKNOW,"PMG Office Hazaratganj",Pensioner,1678
LUCKNOW,AGRA,Serving,10515
LUCKNOW,Lucknow5,Serving,8351
LUCKNOW,BAREILLY,Serving,5928
LUCKNOW,Lucknow2,Serving,1278
MEERUT," CGHS WC BAGHPAT",Serving,422
MEERUT," CGHS WC BAGHPAT",Pensioner,970
MEERUT,"AbuLane Meerut","Freedom Fighter",2
MEERUT,"AbuLane Meerut",Pensioner,5403
MEERUT,"Vijay Nagar Meerut",Pensioner,1599
MEERUT,"S K Road Meerut",Serving,3818
MEERUT,"Ambala Road Saharanpur",Pensioner,2
MUMBAI,NASHIK,Pensioner,8218
MUMBAI,"C G O NEW MARINE LINES","Ex MP",20
MUMBAI,BYCULLA,Serving,2670
MUMBAI,DEONAR,Serving,4854
MUMBAI,BHANDUP,Serving,4565
MUMBAI,VIKHROLI,Serving,4
MUMBAI,"PEDDER ROAD",Pensioner,761
MUMBAI,"PEDDER ROAD",Serving,1172
MUMBAI,"SAHAR,ANDHERI (W)",Serving,1539
MUMBAI,"SHEIKH MISTRY, KOLIWADA",Pensioner,1158
MUMBAI,"KANJURMARG POWAI",Pensioner,2902
MUMBAI,"KANJURMARG POWAI",Serving,12290
MUMBAI,BORIVALI,Serving,45
MUMBAI,"NEPEAN SEA ROAD",Serving,1292
MUMBAI,JUHU,"Ex MP",14
MUMBAI,WORLI,"Freedom Fighter",2
MUMBAI,GHATKOPAR,"Freedom Fighter",4
MUMBAI,GHATKOPAR,Serving,8014
MUMBAI,WADALA,"Freedom Fighter",1
MUMBAI,KOLIWADA,"Freedom Fighter",1
MUMBAI,KOLIWADA,Serving,11221
MUMBAI,"CLI SION",Serving,3250
NAGPUR,"PANDRI RAIPUR",Pensioner,1500
NAGPUR,CHANDRAPUR,Pensioner,2123
NAGPUR,Wadi,Pensioner,3594
NAGPUR,"CIVIL LINES",Serving,2898
NAGPUR,"CIVIL LINES","Ex MP",8
NAGPUR,"SEMINARY HILLS",Serving,5855
NAGPUR,"PANCH PAOLI","Freedom Fighter",5
NAGPUR,"PANCH PAOLI",Pensioner,6472
NAGPUR,"MEDICAL SQUARE",Pensioner,5425
NAGPUR,"WARDHA ROAD","Ex MP",11
NAGPUR,"SANKAR DARA",Pensioner,5239
NAGPUR,"SANKAR DARA",Serving,2432
NAGPUR,"PANDRI RAIPUR",Serving,3153
NAGPUR,"TIKRAPARA RAIPUR",Serving,1966
PATNA,GAYA,Serving,3900
PATNA,"BORING CANAL ROAD",Pensioner,1744
PATNA,"SURYANCHAL BHANDRA GHAT","Freedom Fighter",39
PATNA,"SURYANCHAL BHANDRA GHAT",Serving,1705
PATNA,"KANKAR BAGH","Freedom Fighter",219
PATNA,"Salimpur Dumara,Ashiyana Nagar",Pensioner,3418
PATNA,"Salimpur Dumara,Ashiyana Nagar",Serving,13481
PATNA,"BUDHA MARG","Ex MP",13
PATNA,MUZAFFARPUR,Pensioner,428
PRAYAGRAJ,"Kendranchal Colony",Serving,11323
PRAYAGRAJ,"New Katra",Serving,6172
PRAYAGRAJ,"Kalyani Devi","Ex MP",4
PRAYAGRAJ,"Leader Road","Freedom Fighter",4
PUNE,"GT ROAD EAST STREET",Pensioner,5675
PUNE,"PUNE CAMP","Ex MP",1
PUNE,"PUNE CAMP",Pensioner,7948
PUNE,"PHULENAGAR, YERWADA",Serving,7950
PUNE,"PUNE 05",Serving,7211
PUNE,"PUNE 05","Ex MP",2
PUNE,"MUKUND NAGAR","Rajya Sabha MP",2
PUNE,"MUKUND NAGAR",Serving,3072
PUNE,"SHUKRAWAR PETH",Pensioner,8937
RANCHI,"P and T COLONY LALPUR",Serving,4209
RANCHI,"P and T COLONY LALPUR",Pensioner,924
RANCHI,"KANTA TOLI",Pensioner,1760
SHILLONG,AGARTALA,Serving,17235
SHILLONG,Imphal,Pensioner,294
SHILLONG,SHILLONG,Serving,14105
TRIVANDRUM,TRIVANDRUM,Serving,3182
TRIVANDRUM,TRIVANDRUM,"Freedom Fighter",62
TRIVANDRUM,KANNUR,"Freedom Fighter",1
TRIVANDRUM,COCHIN,"Rajya Sabha MP",3
AHMEDABAD,VEJALPUR,"Freedom Fighter",1
AHMEDABAD,"ASHRAM ROAD","Freedom Fighter",17
AHMEDABAD,"ASHRAM ROAD","Ex MP",61
AHMEDABAD,"PRAGATINAGAR, NARANPURA",Serving,7032
AHMEDABAD,"PRAGATINAGAR, NARANPURA","Ex MP",3
BENGALURU,HBR,Pensioner,6175
BENGALURU,Banashankari,"Freedom Fighter",20
BENGALURU,"KA CGHS POLYCLINIC SHIVAJINAGAR",Pensioner,2
BENGALURU,"KA GANGENAHALLI",Pensioner,10520
BENGALURU,"Mysuru Wellness center",Serving,2683
BENGALURU,"KA KORAMANGALA","Freedom Fighter",16
BENGALURU,"KA JAYANAGAR",Pensioner,9097
BENGALURU,"KA JAYANAGAR","Freedom Fighter",21
BENGALURU,"KA VIJAYANAGAR","Ex MP",20
BENGALURU,HBR,"Ex MP",2
BHOPAL,"Air India",Serving,4
BHOPAL,"JAHANGIRABAD BP – 1","Ex MP",25
BHOPAL,INDORE1,"Freedom Fighter",3
BHUBANESHWAR,"KHARAVELA NAGAR","Freedom Fighter",78
BHUBANESHWAR," CGHS WC BERHAMPUR",Pensioner,862
CHANDIGARH,"CHD Sec 29",Serving,4885
CHANDIGARH,JALANDHAR,Serving,7473
CHANDIGARH,"CGHS WC-2 Jammu",Serving,669
CHANDIGARH,AMBALA,Serving,6252
CHENNAI,MEENAMBAKKAM,"Freedom Fighter",6
CHENNAI,NUNGAMBAKKAM,"Freedom Fighter",1
CHENNAI,RAPURAM,Pensioner,1541
CHENNAI,RAPURAM,"Ex MP",19
CHENNAI,PUDUCHERRY,"Freedom Fighter",2
CHENNAI,ROYAPURAM,"Ex MP",4
CHENNAI,PUDUCHERRY,Pensioner,2559
CHENNAI,PUDUCHERRY,"Ex MP",2
CHENNAI,TRICHY,Pensioner,4775
CHENNAI,COIMBATORE,"Lok Sabha MP",3
CHENNAI,COIMBATORE,Serving,2870
CHENNAI,ADYAR,"Ex MP",32
CHENNAI,AVADI,"Freedom Fighter",5
CHENNAI,GOPALAPURAM,Serving,2195
DEHRADUN,"CHAKARATA ROAD","Freedom Fighter",1
DEHRADUN,DEHRADUN,Serving,16040
DEHRADUN,DEHRADUN,Pensioner,14911
DEHRADUN,"CHAKARATA ROAD",Pensioner,8085
"DELHI AND NCR","SHAKUR BASTI",Serving,8494
"DELHI AND NCR",INDERPURI,Serving,6593
"DELHI AND NCR","R K PURAM-V",Pensioner,3869
"DELHI AND NCR","R K PURAM-V","Ex MP",2
"DELHI AND NCR","NANGAL RAYA",Jaurnalist,28
"DELHI AND NCR","NANGAL RAYA",Serving,18134
"DELHI AND NCR","KINGSWAY CAMP","Freedom Fighter",7
"DELHI AND NCR",JANAKPURI-I,Jaurnalist,162
"DELHI AND NCR","MEHRAULI BADARPUR ROAD (M B ROAD)",Serving,26909
"DELHI AND NCR","MEHRAULI BADARPUR ROAD (M B ROAD)","Ex MP",10
"DELHI AND NCR","PALAM COLONY",Pensioner,15312
"DELHI AND NCR","PALAM COLONY",Serving,66418
"DELHI AND NCR","LAXMI NAGAR","Freedom Fighter",2
"DELHI AND NCR","LAXMI NAGAR",Serving,32914
"DELHI AND NCR",GHAZIABAD,Jaurnalist,186
"DELHI AND NCR",GHAZIABAD,Serving,40945
"DELHI AND NCR",GHAZIABAD,"Ex MP",8
"DELHI AND NCR","R K PURAM-VI",Jaurnalist,21
"DELHI AND NCR","TIMAR PUR ",Serving,27148
"DELHI AND NCR",FARIDABAD,Pensioner,13622
"DELHI AND NCR",MUNIRKA,Serving,19463
"DELHI AND NCR","GURUGRAM SECTOR 5",Serving,30050
"DELHI AND NCR","GURUGRAM SECTOR 5","Ex MP",11
"DELHI AND NCR",JANAKPURI-II,Pensioner,5795
"DELHI AND NCR","VIVEK VIHAR",Pensioner,5277
"DELHI AND NCR","PASCHIM VIHAR","Freedom Fighter",23
"DELHI AND NCR",PITAMPURA,Jaurnalist,28
"DELHI AND NCR","SUNDER VIHAR ","Freedom Fighter",5
"DELHI AND NCR","SUNDER VIHAR ",Jaurnalist,24
"DELHI AND NCR","SUNDER VIHAR ",Serving,24085
"DELHI AND NCR","YAMUNA VIHAR",Pensioner,18181
"DELHI AND NCR","NOIDA ",Jaurnalist,326
"DELHI AND NCR",ROHINI,"Freedom Fighter",2
"DELHI AND NCR",ROHINI,Pensioner,12757
"DELHI AND NCR","ROHINI Sec 16",Jaurnalist,42
"DELHI AND NCR","ROHINI Sec 16",Serving,24468
"DELHI AND NCR","ROHINI Sec 16","Ex MP",1
"DELHI AND NCR","LODHI ROAD-I (ALI GANJ)",Pensioner,2320
"DELHI AND NCR","SARITA VIHAR","Freedom Fighter",8
"DELHI AND NCR","SARITA VIHAR",Jaurnalist,218
"DELHI AND NCR","SARITA VIHAR",Serving,23620
"DELHI AND NCR","VASANT KUNJ",Jaurnalist,53
"DELHI AND NCR","GURUGRAM SECTOR 55","Freedom Fighter",9
"DELHI AND NCR","GURUGRAM SECTOR 55",Jaurnalist,7
"DELHI AND NCR",SHAHIBABAD,Pensioner,5439
"DELHI AND NCR","VASANT VIHAR",Serving,4456
"DELHI AND NCR",INDIRAPURAM,Serving,19010
"DELHI AND NCR",INDIRAPURAM,"Ex MP",6
"DELHI AND NCR",NARAINA,Jaurnalist,14
"DELHI AND NCR","LODHI ROAD II",Jaurnalist,2
"DELHI AND NCR","DWARKA SECTOR 23",Jaurnalist,18
"DELHI AND NCR","DWARKA SECTOR 23",Pensioner,5219
"DELHI AND NCR",PATPARGANJ,Jaurnalist,74
"DELHI AND NCR","MAYUR VIHAR PH II",Pensioner,2018
"DELHI AND NCR","ZILLA SAINIK BOARD FARIDABAD",Jaurnalist,10
"DELHI AND NCR","KIDWAI NAGAR","Ex MP",2
"DELHI AND NCR","SAROJINI NAGAR I",Serving,1894
"DELHI AND NCR","SAROJINI NAGAR II",Serving,542
"DELHI AND NCR","LAXMIBAI NAGAR",Pensioner,4080
"DELHI AND NCR",MOTIBAGH,Serving,7392
"DELHI AND NCR",KAROLBAGH,Serving,377
"DELHI AND NCR","VIKAS PURI",Jaurnalist,23
"DELHI AND NCR","DEV NAGAR",Pensioner,3110
"DELHI AND NCR","DEV NAGAR",Serving,7002
AHMEDABAD,Vadodara,Serving,11045
AHMEDABAD,"ASHRAM ROAD",Pensioner,8602
AHMEDABAD,NAVRANGPURA,"Freedom Fighter",11
AHMEDABAD,NARODA,Serving,5710
AHMEDABAD,"ASHRAM ROAD POLICILINIC",Serving,16
AHMEDABAD,"GANDHI NAGAR","Rajya Sabha MP",5
AHMEDABAD,BOPAL,Pensioner,1720
BENGALURU,Banashankari,"Ex MP",3
BENGALURU,Banashankari,Pensioner,7581
BENGALURU,"KA SESHADRIPURAM",Serving,5523
BENGALURU,"KA SHIVAJINAGAR","Ex MP",35
BENGALURU,"KA GANGENAHALLI","Lok Sabha MP",2
BENGALURU,"KA DOMLUR","Ex MP",3
BENGALURU,"KA GANGENAHALLI","Ex MP",33
BENGALURU,"Air India Bangalore",Pensioner,4
BENGALURU,"KA DOMLUR",Pensioner,5326
BENGALURU,"KA DOMLUR","Freedom Fighter",4
BENGALURU,"KA KORAMANGALA","Ex MP",8
BENGALURU,"KA JAYANAGAR",Serving,3661
BENGALURU,"KA VIJAYANAGAR","Freedom Fighter",120
BHOPAL,"Air India",Pensioner,3
BHOPAL,INDORE1,"Ex MP",12
BHUBANESHWAR,"OLD AG COLONY",Pensioner,5230
BHUBANESHWAR,"KHARAVELA NAGAR",Pensioner,4715
BHUBANESHWAR,"Air India",Pensioner,27
BHUBANESHWAR,"KHARAVELA NAGAR","Ex MP",105
BHUBANESHWAR,"PMG Square","Ex MP",7
CHANDIGARH,"CHD Sec 45","Freedom Fighter",17
CHANDIGARH,"CHD Sec 45","Lok Sabha MP",5
CHANDIGARH,"CHD Sec 29",Pensioner,644
CHANDIGARH,"Sanat nagar Srinagar","Freedom Fighter",1
CHANDIGARH,"Sanat nagar Srinagar",Pensioner,406
CHANDIGARH,"Sanat nagar Srinagar",Serving,5565
CHENNAI,NANDAMBAKKAM,"Freedom Fighter",2
CHENNAI,TRIPLICANE,Pensioner,1558
CHENNAI,ADYAR,Serving,5312
CHENNAI,"ANNA NAGAR",Pensioner,10313
CHENNAI,"ANNA NAGAR",Serving,11703
CHENNAI,GUINDY,"Ex MP",37
CHENNAI,"K K NAGAR",Pensioner,13043
DEHRADUN,"RAIPUR ROAD","Freedom Fighter",1
DEHRADUN,"RAIPUR ROAD",Pensioner,11394
DEHRADUN,"CHAKARATA ROAD",Serving,4411
DEHRADUN,DEHRADUN,"Ex MP",8
"DELHI AND NCR","R K PURAM-IV",Pensioner,4200
"DELHI AND NCR","R K PURAM-IV","Ex MP",9
"DELHI AND NCR","SHAKUR BASTI",Jaurnalist,5
"DELHI AND NCR","SHAKUR BASTI",Pensioner,7144
"DELHI AND NCR","G.K.G Krishna Nagar","Freedom Fighter",1
"DELHI AND NCR","G.K.G Krishna Nagar",Serving,11478
"DELHI AND NCR","KINGSWAY CAMP",Jaurnalist,19
"DELHI AND NCR","KINGSWAY CAMP",Serving,41864
"DELHI AND NCR","SADIQ NAGAR",Jaurnalist,24
"DELHI AND NCR","SADIQ NAGAR",Pensioner,4364
"DELHI AND NCR","TRI NAGAR",Pensioner,1500
"DELHI AND NCR","PALAM COLONY","Ex MP",3
"DELHI AND NCR",GHAZIABAD,"Freedom Fighter",5
"DELHI AND NCR","R K PURAM-VI",Serving,7420
"DELHI AND NCR",FARIDABAD,"Freedom Fighter",9
"DELHI AND NCR",FARIDABAD,Serving,18116
"DELHI AND NCR",MUNIRKA,"Freedom Fighter",1
"DELHI AND NCR",MUNIRKA,Pensioner,1334
"DELHI AND NCR",JANAKPURI-II,Serving,2908
"DELHI AND NCR","KALI BARI",Pensioner,2630
"DELHI AND NCR","PUSHP VIHAR(PUSHP VIHAR SECTOR 4) ","Ex MP",2
"DELHI AND NCR","VIVEK VIHAR",Serving,3647
"DELHI AND NCR","CHANDNI CHOWK",Serving,4427
"DELHI AND NCR",PITAMPURA,Pensioner,7276
"DELHI AND NCR",PITAMPURA,Serving,13792
"DELHI AND NCR","PRAGATI  VIHAR",Pensioner,971
"DELHI AND NCR","YAMUNA VIHAR","Freedom Fighter",1
"DELHI AND NCR","YAMUNA VIHAR","Ex MP",4
"DELHI AND NCR","NOIDA ","Freedom Fighter",9
"DELHI AND NCR","DILSHAD GARDEN",Serving,13497
"DELHI AND NCR","SHALIMAR BAGH",Jaurnalist,36
"DELHI AND NCR","SHALIMAR BAGH",Serving,10120
"DELHI AND NCR","ROHINI Sec 16","Freedom Fighter",11
"DELHI AND NCR","ROHINI Sec 16",Pensioner,11169
"DELHI AND NCR","VASANT KUNJ",Pensioner,6358
"DELHI AND NCR","SUPREME COURT",Serving,13
"DELHI AND NCR","NOIDA SECTOR 82",Pensioner,5589
"DELHI AND NCR","VASANT VIHAR",Jaurnalist,12
"DELHI AND NCR","VASANT VIHAR",Pensioner,757
"DELHI AND NCR","GOLE MARKET ","Freedom Fighter",2
"DELHI AND NCR","GOLE MARKET ",Jaurnalist,23
"DELHI AND NCR","GOLE MARKET ",Pensioner,3904
"DELHI AND NCR","GOLE MARKET ",Serving,13087
"DELHI AND NCR","MAYUR VIHAR PH II",Jaurnalist,51
"DELHI AND NCR",SONIPAT,Serving,12293
"DELHI AND NCR",Narela,Serving,5780
"DELHI AND NCR","Pratap Vihar",Serving,194
"DELHI AND NCR",LAJPATNAGAR,"Freedom Fighter",1
"DELHI AND NCR","SAROJINI NAGAR I","Freedom Fighter",1
"DELHI AND NCR","SAROJINI NAGAR II",Pensioner,245
"DELHI AND NCR","PUSA ROAD",Pensioner,2167
"DELHI AND NCR","PANDARA ROAD ","Freedom Fighter",3
"DELHI AND NCR","PANDARA ROAD ",Pensioner,2248
"DELHI AND NCR","PATEL NAGAR-I(EAST)","Freedom Fighter",1
"DELHI AND NCR","PATEL NAGAR-I(EAST)",Serving,769
"DELHI AND NCR","NETAJI NAGAR",Pensioner,1308
"DELHI AND NCR","CHANKAYA PURI","Ex MP",9
"DELHI AND NCR","NAUROJI NAGAR",Serving,1240
"DELHI AND NCR","NORTH AVENUE",Serving,3278
"DELHI AND NCR","NORTH AVENUE","Ex MP",1361
"DELHI AND NCR","SOUTH AVENUE",Jaurnalist,8
"DELHI AND NCR","TELEGRAPH LANE",Jaurnalist,36
"DELHI AND NCR","DWARKA SECTOR 9","Freedom Fighter",4
"DELHI AND NCR","DWARKA SECTOR 9",Jaurnalist,105
"DELHI AND NCR",SHRINIVASPURI,Pensioner,4601
"DELHI AND NCR",SHRINIVASPURI,"Ex MP",10
"DELHI AND NCR","ANDREWS GANJ",Jaurnalist,46
"DELHI AND NCR","MINTO ROAD",Jaurnalist,7
"DELHI AND NCR","KALKA  JI - I",Serving,12002
"DELHI AND NCR","DR Z.H ROAD",Pensioner,1632
"DELHI AND NCR","CBI COLONY",Pensioner,271
"DELHI AND NCR","PHA (ANNEXE) ","Lok Sabha MP",1605
GUWAHATI,AiZwal,Serving,5639
GUWAHATI,Gangtok,Serving,2543
GUWAHATI,KOHIMA,Pensioner,50
GUWAHATI,"GUWAHATI 5",Serving,5875
GUWAHATI,"GUWAHATI 5",Pensioner,1017
GUWAHATI,"GUWAHATI 4","Ex MP",13
GUWAHATI,"GUWAHATI 4",Serving,5257
HYDERABAD,ALWAL,"Freedom Fighter",48
HYDERABAD,VISAKHAPATNAM,Serving,4800
HYDERABAD,"VISAKHAPATNAM WC NO 2","Freedom Fighter",1
HYDERABAD,"VISAKHAPATNAM WC NO 2",Pensioner,10438
HYDERABAD,NELLORE,Pensioner,2964
HYDERABAD,CHARMINAR,"Ex MP",1
HYDERABAD,"A. G COLONY",Serving,7473
HYDERABAD,"KAKATIYA NAGAR",Serving,8269
HYDERABAD,DILSUKHNAGAR,Pensioner,7111
HYDERABAD,TARNAKA,"Freedom Fighter",179
HYDERABAD,TARNAKA,Serving,12152
HYDERABAD,BEGUMPET,Pensioner,12501
HYDERABAD,KACHIGUDA,Pensioner,5897
HYDERABAD,MALAKPET,Pensioner,5631
HYDERABAD,KANCHANBAGH,Pensioner,9432
JABALPUR,"Head Post Office Compound",Serving,6514
JABALPUR,"Head Post Office Compound","Freedom Fighter",3
JABALPUR,"Napier Town",Serving,3591
JABALPUR,"Kamla Nehru Nagar",Pensioner,13855
JABALPUR,Adhartal,"Freedom Fighter",2
JAIPUR,"Air India",Pensioner,2
JAIPUR,"JANTA COLONY","Freedom Fighter",1
JAIPUR,"BANI PARK",Serving,8653
JAIPUR,"JYOTI NAGAR","Freedom Fighter",1
JAIPUR,"MALVIYA NAGAR",Pensioner,5647
JAIPUR,"VIDHYADHAR NAGAR",Serving,7974
JAIPUR,"VIDHYADHAR NAGAR","Ex MP",3
JAIPUR,JODHPUR,"Ex MP",8
KANPUR,KENDRANCHAL,Pensioner,7149
KANPUR,"RAKSHA VIHAR",Pensioner,8838
KANPUR,"PANDU NAGAR",Pensioner,13185
KANPUR,"PANDU NAGAR","Ex MP",7
KANPUR,"SAKET NAGAR","Freedom Fighter",2
KANPUR,"R. K. NAGAR",Pensioner,3104
KANPUR,"CIVIL LINES","Ex MP",3
KANPUR,"KHAPRA MOHAL",Pensioner,3328
KOLKATA,Ishapore,Pensioner,8296
KOLKATA,"DOVER LANE",Serving,5812
KOLKATA,NARKELDANGA,"Ex MP",6
KOLKATA,SHYAMBAZAR,"Freedom Fighter",154
KOLKATA,"AIIH&PH Campus CR Avenue","Freedom Fighter",29
KOLKATA,"MINT COLONY",Pensioner,8601
KOLKATA,BELVEDERE,"Freedom Fighter",19
KOLKATA,BELVEDERE,Serving,3813
KOLKATA,TOLLYGUNJ,Pensioner,8361
KOLKATA,TOLLYGUNJ,"Ex MP",1
KOLKATA,"Motilal Gupta Road",Pensioner,5083
KOLKATA,"Motilal Gupta Road",Serving,4048
LUCKNOW,"PMG Office Hazaratganj",Serving,2618
LUCKNOW,GORAKHPUR,Pensioner,1280
LUCKNOW,Lucknow4,Serving,2950
LUCKNOW,Lucknow5,"Ex MP",10
LUCKNOW,GORAKHPUR,Serving,3185
LUCKNOW,Lucknow6,"Lok Sabha MP",1
LUCKNOW,Lucknow6,"Ex MP",15
LUCKNOW,"GOL Market",Pensioner,2197
LUCKNOW,"Lucknow 1","Freedom Fighter",2
LUCKNOW,"Lucknow 1",Pensioner,7535
LUCKNOW,Lucknow2,"Freedom Fighter",3
LUCKNOW,Lucknow2,Pensioner,1479
LUCKNOW,Lucknow2,"Ex MP",23
MEERUT,"AbuLane Meerut",Serving,5781
MEERUT,"Shastri Nagar Meerut","Freedom Fighter",5
MEERUT,"Shastri Nagar Meerut",Pensioner,3062
MEERUT,"S K Road Meerut","Freedom Fighter",6
MEERUT,"Lekha Nagar Meerut",Pensioner,2622
MEERUT," CGHS WC ALIGARH",Serving,2325
MUMBAI,NASHIK,"Ex MP",2
MUMBAI,BYCULLA,Pensioner,1592
MUMBAI,AMBARNATH,Serving,7592
MUMBAI,"CBD BELAPUR",Pensioner,11715
MUMBAI,WAKOLA,Pensioner,3470
MUMBAI,"PEDDER ROAD","Freedom Fighter",1
MUMBAI,KANDIVALI,"Ex MP",5
MUMBAI,"SHEIKH MISTRY, KOLIWADA",Serving,12568
MUMBAI,"PAREL ",Jaurnalist,1
MUMBAI,SEEPZ,Serving,1797
MUMBAI,"NEPEAN SEA ROAD",Pensioner,471
MUMBAI,JUHU,Serving,3469
MUMBAI,WORLI,Pensioner,2847
MUMBAI,WORLI,"Ex MP",5
MUMBAI,SANTAKRUZ,"Freedom Fighter",4
MUMBAI,WADALA,Serving,3375
NAGPUR,"CHINDWARA ROAD",Pensioner,13
NAGPUR,CHANDRAPUR,Serving,374
NAGPUR,"KATOL ROAD","Ex MP",1
NAGPUR,"CIVIL LINES","Freedom Fighter",6
NAGPUR,"SHANKAR NAGAR","Freedom Fighter",5
NAGPUR,"WARDHA ROAD","Freedom Fighter",18
NAGPUR,"WARDHA ROAD",Pensioner,8543
NAGPUR,"PANDRI RAIPUR","Ex MP",6
NAGPUR,"TIKRAPARA RAIPUR",Pensioner,925
NAGPUR,"TIKRAPARA RAIPUR","Ex MP",4
NAGPUR,"Air India",Pensioner,27
PATNA,CHHAPRA,Pensioner,216
PATNA,"BORING CANAL ROAD","Freedom Fighter",153
PATNA,"POLYCLINIC BUDH MARG PATNA",Pensioner,3
PATNA,"KANKAR BAGH",Pensioner,2921
PATNA,"Salimpur Dumara,Ashiyana Nagar","Ex MP",5
PRAYAGRAJ,"Leader Road",Pensioner,2933
PRAYAGRAJ,"Kalyani Devi",Serving,1701
PRAYAGRAJ,"Kalyani Devi",Pensioner,2625
PRAYAGRAJ,"Jawahar Lal Nehru Road","Ex MP",8
PUNE,"GT ROAD EAST STREET",Serving,3285
PUNE,"MUKUND NAGAR","Ex MP",25
RANCHI,"Air India",Pensioner,4
RANCHI,"KANTA TOLI",Serving,2783
SHILLONG,AGARTALA,Pensioner,1148
SHILLONG,SHILLONG,"Freedom Fighter",1
SHILLONG,"OPP. Raj Bhawan Shillong","Freedom Fighter",2
SHILLONG,"OPP. Raj Bhawan Shillong",Pensioner,1025
TRIVANDRUM,COCHIN,"Ex MP",11
TRIVANDRUM,CALICUT,"Freedom Fighter",2
TRIVANDRUM,CALICUT,Serving,754
TRIVANDRUM,"TRIVANDRUM 2",Pensioner,10028
TRIVANDRUM,"TRIVANDRUM 2","Freedom Fighter",18
TRIVANDRUM,"Air India",Pensioner,5
TRIVANDRUM,"TRIVANDRUM 2","Ex MP",18
TRIVANDRUM,KANNUR,Pensioner,2477
TRIVANDRUM,"TRIVANDRUM 2",Serving,3779
TRIVANDRUM,"TRIVANDRUM 3","Ex MP",30
